Filipino,English
tungkol sa,About
sa itaas,Above
umangkop,Adapt
umamin,Admit
nasa hustong gulang,Adult
pagkatapos,After
muli,Again
sumang-ayon,Agree
alerto,Alert
payagan,Allow
mag-isa,Alone
kasama,Along
galit,Anger
anggulo,Angle
galit,Angry
asset,Asset
iwasan,Avoid
gising,Awake
may kamalayan,Aware
magsimula,Begin
kapanganakan,Birth
dugo,Blood
utak,Brain
binuo,Built
dalhin,Bring
magtayo,Build
kamelyo,Camel
kanal,Canal
dalhin,Carry
mura,Cheap
manloko,Cheat
suriin,Check
dibdib,Chest
paghahabol,Claim
malinis,Clean
malinaw,Clear
umakyat,Climb
malapit na,Close
tela,Cloth
ulap,Cloud
kulay,Color
krimen,Crime
karamihan ng tao,Crowd
korona,Crown
araw-araw,Daily
sayaw,Dance
kamatayan,Death
pagkabulok,Decay
pagkaantala,Delay
demonyo,Devil
marumi,Dirty
damit,Dress
inumin,Drink
magmaneho,Drive
tumira,Dwell
sabik,Eager
agila,Eagle
maaga,Early
lupa,Earth 
matanda,Elder
walang laman,Empty
kaaway,Enemy
magsaya,Enjoy
pagpasok,Entry
pantay,Equal
sanaysay,Essay
kaganapan,Event
bawat,Every
eksakto,Exact
umiral,Exist
dagdag,Extra
pananampalataya,Faith
kasalanan,Fault
lagnat,Fever
patlang,Field
pangwakas,Final
armada,Fleet
lumutang,Float
baha,Flood
sahig,Floor
harina,Flour
fluid,Fluid
focus,Focus
puwersa,Force
panloloko,Fraud
sariwa,Fresh
harap,Front
prutas,Fruit
multo,Ghost
globo,Globe
pupunta,Going
butil,Grain
bigyan,Grant
damo,Grass
malaki,Great
pangkat,Group
bantay,Guard
bisita,Guest
ugali,Habit
puso,Heart
honey,Honey
kabayo,Horse
bahay,House
tao,Human
perpekto,Ideal
isyu,Issue
hukom,Judge
kutsilyo,Knife
paggawa,Labor
sandok,Ladle
malaki,Large
tumawa,Laugh
matuto,Learn
umalis,Leave
legal,Legal
limitasyon,Limit
tanghalian,Lunch
metal,Metal
magkakahalo,Mixed
pera,Money
buwan,Month
bundok,Mount
bibig,Mouth
musika,Music
mais,Maize
hubad,Naked
hindi kailanman,Never
gabi,Night
pamangkin,Niece
ingay,Noise
mangyari,Occur
karagatan,Ocean
sibuyas,Onion
alok,Offer
utos,Order
organ,Organ
iba pa,Other
may-ari,Owner
palay,Paddy
panic,Panic
kapayapaan,Peace
lugar,Place
planta,Plant
presyo,Price
pagmamalaki,Pride
ipinagmamalaki,Proud
patunayan,Prove
kubrekama,Quilt
mabilis,Quick
medyo,Quite
itaas,Raise
maabot,Reach
gumanti,React
handa na,Ready
sagot,Reply
tama,Right
bilog,Round
kanayunan,Rural
santo,Saint
saklaw,Scope
puntos,Score
kahulugan,Sense
iling,Shake
Hugis,Shape
ibahagi,Share
matalas,Sharp
palumpong,Shrub
kasanayan,Skill
matulog,Sleep
dalisdis,Slope
maliit,Small
amoy,Smell
ngumiti,Smile
ahas,Snake
hilik,Snore
solid,Solid
tunog,Sound
space,Space
magsalita,Speak
bilis,Speed
gumastos,Spend
ginastos,Spent
tamud,Sperm
palakasan,Sport
tumayo,Stand
singaw,Steam
bato,Stone
kwento,Story
panlasa,Taste
turo,Teach
ngipin,Teeth
salamat,Thank
doon,There
ang mga ito,These
makapal,Thick
bagay,Thing
tigre,Tiger
ngayon,Today
kabuuan,Total
gamutin,Treat
uso,Trend
sinubukan,Tried
magtiwala,Trust
katotohanan,Truth
dalawang beses,Twice
sa ilalim,Under
itaas,Upper
urban,Urban
bisitahin,Visit
boses,Voice
sumuka,Vomit
basura,Waste
tubig,Water
trigo,Wheat
saan,Where
puti,White
buo,Whole
babae,Woman
mundo,World
pinakamasama,Worst
magsulat,Write
mali,Wrong
ani,Yield
bata pa,Young
