French,English
partie,part
chercher,search
police,police
genre,kind
mois,month
laisse,leash
arrivé,come
longtemps,long time
pendant,while
aucune,any
attention,Warning
voici,here is
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
trouve,find
premier,first
main,hand
première,first
côté,side
tiens,here
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
aujourd'hui,today
cause,cause
attendez,Wait
parti,left
boulot,job
dirait,would say
compte,account
donne,given
plutôt,rather
filles,girls
jouer,to play
