Korean,English
annyeonghaseyo,hello
gomapseumnida,thank you
ne,yes
aniyo,no
amado,maybe
juseyo,please/please give me
joesonghamnida,sorry
annyeonghi gaseyo,goodbye
annyeonghi gyeseyo,goodbye
hada,to do
meokda,to eat
gada,to go
oda,to come
boda,to see
achim,morning/breakfast
jeomsim,lunch
jeonyeok,evening/dinner
bam,night
ireum,name
gajok,family
gongwon,park
eunhaeng,bank
pyeonijeom,convenience store
beoseu,bus
cha,car
gicha,train
bihaenggi,airplane
jihacheol,subway
sikdang,restaurant
byeongwon,hospital
hakgyo,school
jip,house
bang,room
hwajangsil,restroom
oenjjok,left
oreunjjok,right
il,day
ju,week
jumal,weekend
wol,month
nyeon,year
bun,minute
si,hour
eodi,where
eonje,when
eotteoke,how
mwo,what
igeo,this
jeogeo,that
geugeo,that
